food_item_uid,food_item_name,restaurant_food_item_description,food_item_image_url,food_item_type,actual_price_r,old_price_s,old_price_l,actual_price_r,actual_price_s,actual-price_l,food_item_category,food_item_parent_category,restaurant_food_item_speciality,restaurant_food_item_availability,AddOns,isAddOns,isCustomizers
CHP292,Chicken Lolipop,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Non-Vegetarian,179,,,179,,,CHINEESE (NON VEG),STARTER,,TRUE,FALSE,,FALSE
EGI560,Egg Chilli,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Non-Vegetarian,189,,,189,,,CHINEESE (NON VEG),STARTER,,TRUE,FALSE,,FALSE
CHK371,Chicken Drumstick,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Non-Vegetarian,269,,,269,,,CHINEESE (NON VEG),STARTER,,TRUE,FALSE,,FALSE
CHN763,Chicken Manchurian,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Non-Vegetarian,219,,,219,,,CHINEESE (NON VEG),STARTER,,TRUE,FALSE,,FALSE
PEN124,Peri Peri Chicken,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Non-Vegetarian,219,,,219,,,CHINEESE (NON VEG),STARTER,,TRUE,FALSE,,FALSE
GAN464,Garlic Chicken,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Non-Vegetarian,229,,,229,,,CHINEESE (NON VEG),STARTER,,TRUE,FALSE,,FALSE
SCN182,Schewan Chicken,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Non-Vegetarian,239,,,239,,,CHINEESE (NON VEG),STARTER,,TRUE,FALSE,,FALSE
CHC312,Chicken Majestic,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Non-Vegetarian,205,,,205,,,CHINEESE (NON VEG),STARTER,,TRUE,FALSE,,FALSE
HO)482,Hot’n’Sour (Veg),Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,119,,,119,,,SOUP (VEG),SOUP,,TRUE,FALSE,,FALSE
HO)332,Hot’n’Sour (Non-Veg),Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Non-Vegetarian,129,,,129,,,SOUP (NON-VEG),SOUP,,,,,
